IMO#,NAME,TYPE,GT,LDT,BUILT,FLAG,FLAG PRIOR LAST VOYAGE,BENEFICIAL OWNER,BO COUNTRY,COMMERCIAL OPERATOR,REGISTERED OWNER,RO COUNTRY,PLACE,COUNTRY,ARRIVAL,USD/TON,SINGLE HULLED,NEXT TO LAST,DATE OF CHANGE,SUB-TYPE OF SHIP,DATE SOLD FOR BREAKING,FORMER NAME,COMMENT
8330827,Chip Sam,General Cargo,6553.0,,1984.0,North Korea,,"Korea,Government of the Democratic People's Republic of",North Korea,Ocean Maritime Management Company Limited,Taedonggang Sonbak Company Limited,,Zhangjiagang,China,2014-04-17 00:00:00+00:00,,,,,,,,
8915873,Esguifinsa,Fully Cellular Containership,7366.0,,1991.0,Dominica,,Continental Ship Management AS,Norway,Continental Ship Management AS,Trans-Atlansa Company Limited,,Alang,India,2014-02-15 00:00:00+00:00,,,,,,,,
8121458,Challenger,Liquid Petroleum Gas Carrier,5739.0,,1984.0,St. Kitts-Nevis,Singapore,I.M. Skaugen AS,Norway,I.M. Skaugen Marine Services Private Limited,I.M. Skaugen Marine Services Private Limited,,Alang,India,2014-01-05 00:00:00+00:00,,,,2013-12-29 00:00:00,,,,
9065182,Vibe,Vehicle Carrier,23409.0,,1996.0,Comoros,Bahamas,Norwegian Car Carriers ASA (NOCC),Norway,Norwegian Car Carriers ASA (NOCC),Eidsiva 2 RoRo K.S.,,Alang,India,2014-01-31 00:00:00+00:00,,,,2013-12-24 00:00:00,,,,
9070931,Vinni,RoRo,23409.0,,1994.0,Norway,,Norwegian Car Carriers ASA (NOCC),Norway,Norwegian Car Carriers ASA (NOCC),Eidsiva 2 RoRo K.S.,,Alang,India,2014-01-28 00:00:00+00:00,,,,,,,,
8000915,Mercur,Tanker,22772.0,,1982.0,Bahamas,,Salhus Shipping AS,Norway,Salhus Shipping AS,Salhus Shipping AS,,Alang,India,2014-11-26 00:00:00+00:00,,,,,,,,
8000484,Isla de Cedros,Bulk carrier,34405.0,,1982.0,Hong Kong,,SeaBird Exploration Norway AS,Norway,SeaBird Exploration Norway AS,Lares Shipping Limited,,Alang,India,2014-10-30 00:00:00+00:00,,,,,,,,
8906937,Stolt Markland,Tanker,18994.0,,1991.0,Liberia,,Stolt-Nielsens Rederi AS,Norway,Stolt Tankers B.V.,Stolt Markland 2 B.V.,,Alang,India,2014-12-05 00:00:00+00:00,,,,,,,,
9031454,Romy Believer,Fully Cellular Containership,5006.0,,1992.0,Malta,,Myklebusthaug Management AS,Norway,Myklebusthaug Management AS,Romy Shipping AS,,Aliaga,Turkey,2014-01-31 00:00:00+00:00,,,,,,,,
7708405,Altarek IV,General Cargo With Container Capacity,2062.0,,1979.0,Moldova,Barbados,Wani Shipping A/S,Norway,Wani Norse Management A/S,Unknown Owners/Continental Ship Partner A.S.,,Aliaga,Turkey,2014-01-10 00:00:00+00:00,,,,2012-12-04 00:00:00,,,,
7411375,Wilson Split,Bulk Carrier,3885.0,,1977.0,Barbados,,Wilson ASA,Norway,Green Chartering AS,Wilson Split AS,,Aliaga,Turkey,2014-08-24 00:00:00+00:00,,,,,,,,
7616858,Salmo,General Cargo,2171.0,,1979.0,Barbados,Bahamas,Wilson ASA,Norway,Wilson EuroCarriers AS,Wilson Shipowning AS,,Aliaga,Turkey,2014-04-30 00:00:00+00:00,,,,2013-08-11 00:00:00,,,,
7228194,Bomlo,RoRo,1206.0,,1972.0,Norway,,Det Stavangerske Dampskibsselskab,Norway,Norled AS,Norled AS,,Esbjerg,Denmark,2014-10-13 00:00:00+00:00,,,,,,,,
7514294,Polynya Viking,Fishing vessel,875.0,,1978.0,Norway,,Polynya Maritime AS,Norway,Polynya Maritime AS,Polynya Viking AS,,Esbjerg,Denmark,2014-05-28 00:00:00+00:00,,,,,,,,
7638521,Wani Will,General Cargo,2020.0,,1978.0,Barbados,,Wani Shipping A/S,Norway,Wani Norse Management A/S,Continental Ship Partner A.S.,,Fredrikshavn,Denmark,2014-03-02 00:00:00+00:00,,,,,,,,
8003876,Bio Sun,General Cargo,1513.0,,1980.0,St. Kitts-Nevis,,Aasen Shipping AS,Norway,Aasen Chartering AS,West-Trans Bulk AS,,Grenaa,Denmark,2014-01-05 00:00:00+00:00,,,,,,,,
